"Time","Locks — accessexclusivelock"
2026-04-19 14:41:30,0
2026-04-19 14:41:45,0
2026-04-19 14:42:00,0
2026-04-19 14:42:15,0
2026-04-19 14:42:30,0
2026-04-19 14:42:45,0
2026-04-19 14:43:00,0
2026-04-19 14:43:15,0
2026-04-19 14:43:30,0
2026-04-19 14:43:45,0
2026-04-19 14:44:00,0
2026-04-19 14:44:15,0
2026-04-19 14:44:30,0
2026-04-19 14:44:45,0
2026-04-19 14:45:00,0
2026-04-19 14:45:15,0
2026-04-19 14:45:30,0
2026-04-19 14:45:45,0
2026-04-19 14:46:00,0
2026-04-19 14:46:15,0
2026-04-19 14:46:30,0
2026-04-19 14:46:45,0
2026-04-19 14:47:00,0
2026-04-19 14:47:15,0
2026-04-19 14:47:30,0
2026-04-19 14:47:45,0
2026-04-19 14:48:00,0
2026-04-19 14:48:15,0
2026-04-19 14:48:30,0
2026-04-19 14:48:45,0
2026-04-19 14:49:00,0
2026-04-19 14:49:15,0
2026-04-19 14:49:30,0
2026-04-19 14:49:45,0
2026-04-19 14:50:00,0
2026-04-19 14:50:15,0
2026-04-19 14:50:30,0
2026-04-19 14:50:45,0
2026-04-19 14:51:00,0
